LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17
0.565906,0.017694,0.012405,0.01484,0.011454,0.012043,0.014574,0.017009,0.023269,0.018455,0.014821,0.013128,0.010978,0.013394,0.009989,0.015107,0.018645,0.19629
0.369186,0.032946,0.015946,0.012155,0.010006,0.011565,0.015104,0.018916,0.02393,0.016262,0.011038,0.00851,0.007815,0.01087,0.012765,0.025552,0.024836,0.372599
0.509598,0.022396,0.014162,0.015972,0.012748,0.013368,0.018105,0.022247,0.029291,0.018428,0.01317,0.010094,0.008185,0.012078,0.010094,0.017039,0.018552,0.234474
0.457963,0.032114,0.013349,0.008889,0.005401,0.00571,0.00642,0.009676,0.013117,0.009259,0.006373,0.00534,0.005201,0.008488,0.012855,0.027407,0.029753,0.342685
0.393457,0.016305,0.01095,0.01157,0.013809,0.024019,0.042614,0.071488,0.069043,0.032231,0.016288,0.012121,0.010003,0.013791,0.011622,0.016684,0.014497,0.219508
0.350707,0.031676,0.018007,0.017519,0.012232,0.013938,0.017203,0.024903,0.032481,0.021662,0.016252,0.013207,0.012281,0.015863,0.013158,0.027485,0.030653,0.330775
0.377907,0.015611,0.012889,0.018278,0.021852,0.033815,0.043852,0.055259,0.045167,0.025463,0.015574,0.013389,0.012611,0.015463,0.015315,0.020352,0.020759,0.236444
0.371903,0.023625,0.016587,0.019825,0.016258,0.019731,0.024235,0.037256,0.062312,0.034089,0.021608,0.015484,0.01532,0.016399,0.012716,0.019473,0.020294,0.252886
0.421611,0.012444,0.010417,0.015707,0.018823,0.028514,0.042194,0.06873,0.074087,0.040974,0.024954,0.018081,0.015493,0.01635,0.01073,0.012131,0.013631,0.155129
0.390643,0.029355,0.018038,0.016,0.011173,0.012193,0.014427,0.019987,0.030392,0.017967,0.01314,0.011728,0.010262,0.013712,0.013641,0.024314,0.024492,0.328536
0.447969,0.025087,0.015503,0.012951,0.009306,0.009705,0.011701,0.015295,0.022708,0.014253,0.009358,0.0075,0.00684,0.011441,0.013698,0.025747,0.026875,0.314063
0.354429,0.029631,0.01615,0.011949,0.008644,0.009388,0.010679,0.016106,0.021402,0.013086,0.010329,0.008338,0.006937,0.009979,0.015953,0.030528,0.032563,0.393908
0.418254,0.029698,0.013841,0.009507,0.007081,0.00833,0.008936,0.013003,0.018675,0.014216,0.010203,0.007563,0.006831,0.010649,0.013556,0.02688,0.02861,0.354167
0.371819,0.029183,0.015975,0.015149,0.011537,0.01301,0.016245,0.023523,0.031969,0.021726,0.014448,0.011501,0.008823,0.013244,0.013621,0.02541,0.027386,0.33543
0.367013,0.031435,0.020689,0.018281,0.013937,0.014596,0.017787,0.025342,0.037673,0.023592,0.015213,0.012105,0.012146,0.015296,0.013402,0.023427,0.025259,0.312809
0.455712,0.017479,0.012201,0.012156,0.012844,0.01875,0.02974,0.047069,0.05163,0.028364,0.016821,0.012051,0.010751,0.013935,0.011752,0.015475,0.015625,0.217644
0.422119,0.031061,0.015774,0.012522,0.008453,0.010464,0.011846,0.013182,0.017031,0.011249,0.007934,0.007353,0.007353,0.012412,0.013606,0.026772,0.028029,0.342839
0.40589,0.020354,0.014133,0.015589,0.017135,0.025964,0.032365,0.038334,0.032778,0.016146,0.010968,0.009709,0.010015,0.01309,0.015643,0.022907,0.024525,0.274453
0.340216,0.024723,0.019391,0.026056,0.021278,0.021529,0.023868,0.032294,0.041424,0.02827,0.022938,0.019593,0.017304,0.024145,0.015744,0.023994,0.025352,0.271881
0.370018,0.034023,0.019185,0.013143,0.009009,0.008409,0.009221,0.012012,0.014839,0.010882,0.007843,0.008515,0.009115,0.014203,0.017065,0.032822,0.03579,0.373905
0.439593,0.026402,0.01716,0.016183,0.010324,0.010568,0.01266,0.017299,0.030273,0.020438,0.014474,0.011405,0.010812,0.016113,0.01566,0.023786,0.023472,0.283378
0.517951,0.022778,0.014444,0.012326,0.007396,0.009479,0.010347,0.017743,0.027118,0.016354,0.010069,0.008229,0.008264,0.012847,0.012639,0.021528,0.021181,0.249306
0.5517,0.021283,0.01304,0.012466,0.007267,0.007956,0.009134,0.014562,0.019531,0.012437,0.009249,0.009995,0.008444,0.011862,0.012063,0.019388,0.020738,0.238884
0.362474,0.034995,0.018853,0.012332,0.005617,0.007296,0.008329,0.012138,0.015948,0.009362,0.006134,0.007038,0.007554,0.01117,0.01866,0.033639,0.037126,0.391335
0.380071,0.012738,0.010753,0.023308,0.027065,0.032411,0.042125,0.062133,0.076124,0.056268,0.035007,0.024652,0.015793,0.016343,0.007637,0.011303,0.01118,0.155089
0.359488,0.012633,0.011061,0.01959,0.023134,0.032116,0.046588,0.079744,0.10653,0.06807,0.035341,0.024547,0.014739,0.015112,0.005784,0.008715,0.007809,0.128998
0.408808,0.032928,0.018541,0.012296,0.006877,0.007372,0.008913,0.011636,0.01502,0.010618,0.007537,0.006602,0.008198,0.012186,0.017551,0.027151,0.029572,0.358192
